"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","19","0","0"
"API Framework","Day 24 - Config & Auth","Get token and call protected endpoint","0","0","1","0","0"
"API Performance","Day 27 - SLA & Load","Handle 10 concurrent users","0","0","1","0","0"
"API Performance","Day 27 - SLA & Load","Response time under 2s SLA","0","0","1","0","0"
"API Security","Day 26 - OAuth2 & Contract","Negative test - invalid token rejected","0","0","1","0","0"
"API Security","Day 26 - OAuth2 & Contract","Validate API contract with JSON Schema","0","0","1","0","0"
"API Security","Day 26 - OAuth2 & Contract","Validate JWT structure and payload","0","0","1","0","0"
"API Framework","Day 25 - WireMock","Test against mocked POST","0","0","1","0","0"
"API Automation Framework","Day 23 - Reporting","POST user with attachments","0","0","1","0","0"
"API Automation Framework","Day 23 - Reporting","GET user with Allure steps","0","0","1","0","0"
"API Framework","Day 25 - WireMock","Test against mocked GET","0","0","1","0","0"
