"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 25 08:51:17 UTC 2026","Thu Jun 25 08:51:17 UTC 2026","141","New TestNG Suite","API","api.DataDrivenApiTest","api.DataDrivenApiTest","testCreateUserWithData","testCreateUserWithData",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","161","New TestNG Suite","API","api.ChainingTest","api.ChainingTest","test3_DeleteUser","test3_DeleteUser",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:17 UTC 2026","182","New TestNG Suite","API","api.OAuth2ValidationTest","api.OAuth2ValidationTest","testUserSchemaValidation","testUserSchemaValidation",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","175","New TestNG Suite","API","api.ChainingTest","api.ChainingTest","test2_UpdateUser","test2_UpdateUser",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","263","New TestNG Suite","API","api.UsersApiTest","api.UsersApiTest","testGetAllUsers","testGetAllUsers",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","145","New TestNG Suite","API","api.UsersApiTest","api.UsersApiTest","testUserNotFound","testUserNotFound",""
"passed","Thu Jun 25 08:51:13 UTC 2026","Thu Jun 25 08:51:13 UTC 2026","563","New TestNG Suite","AdvancedInteractions","ui.advanced.ShadowDomTest","ui.advanced.ShadowDomTest","testShadowDOM","testShadowDOM",""
"passed","Thu Jun 25 08:51:14 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","1840","New TestNG Suite","API","api.SchemaTest","api.SchemaTest","testUserSchema","testUserSchema",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","275","New TestNG Suite","API","api.UsersApiTest","api.UsersApiTest","testCreateUser","testCreateUser",""
"passed","Thu Jun 25 08:51:17 UTC 2026","Thu Jun 25 08:51:17 UTC 2026","164","New TestNG Suite","API","api.DataDrivenApiTest","api.DataDrivenApiTest","testCreateUserWithData","testCreateUserWithData",""
"passed","Thu Jun 25 08:51:17 UTC 2026","Thu Jun 25 08:51:17 UTC 2026","274","New TestNG Suite","API","api.AuthTest","api.AuthTest","testGetMyProfileWithToken","testGetMyProfileWithToken",""
"passed","Thu Jun 25 08:51:16 UTC 2026","Thu Jun 25 08:51:16 UTC 2026","306","New TestNG Suite","API","api.ChainingTest","api.ChainingTest","test1_GetExistingUser","test1_GetExistingUser",""
